Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,12.630000,12.860000,12.580000,12.850000,11.116007,4131500
2016-01-05,12.790000,12.840000,12.640000,12.770000,11.046803,2040100
2016-01-06,12.390000,12.500000,12.360000,12.420000,10.744032,3033400
2016-01-07,12.050000,12.180000,11.920000,11.930000,10.320153,4050100
2016-01-08,12.020000,12.050000,11.660000,11.680000,10.103887,3254700
2016-01-11,11.870000,11.890000,11.670000,11.810000,10.216348,3215800
2016-01-12,11.850000,11.880000,11.670000,11.840000,10.242298,2423900
2016-01-13,11.820000,11.850000,11.430000,11.450000,9.904924,3232400
2016-01-14,11.350000,11.640000,11.210000,11.570000,10.008732,4637900
2016-01-15,11.030000,11.150000,10.820000,10.960000,9.481046,5912100
2016-01-19,11.000000,11.000000,10.680000,10.750000,9.299382,4476800
2016-01-20,10.440000,10.580000,10.210000,10.480000,9.065817,7146300
2016-01-21,10.470000,10.730000,10.330000,10.620000,9.186925,4082800
2016-01-22,11.000000,11.130000,10.920000,10.990000,9.506997,3268000
2016-01-25,10.560000,10.570000,10.380000,10.390000,8.987963,3438700
2016-01-26,10.420000,10.680000,10.410000,10.670000,9.230179,2634900
2016-01-27,10.370000,10.660000,10.310000,10.370000,8.970660,4744300
2016-01-28,10.420000,10.440000,10.250000,10.370000,8.970660,3324200
2016-01-29,10.530000,10.810000,10.460000,10.780000,9.325334,3607500
2016-02-01,10.520000,10.710000,10.440000,10.660000,9.221527,2131800
2016-02-02,10.180000,10.190000,9.930000,9.970000,8.624639,5071900
2016-02-03,9.950000,9.950000,9.570000,9.810000,8.486228,7229900
2016-02-04,10.040000,10.290000,10.010000,10.240000,8.858203,6126300
2016-02-05,10.090000,10.210000,10.010000,10.060000,8.702494,4007900
2016-02-08,9.720000,9.720000,9.420000,9.520000,8.235361,5790000
2016-02-09,9.000000,9.240000,8.980000,9.140000,7.906638,6803900
2016-02-10,9.220000,9.360000,9.160000,9.200000,7.958541,7697900
2016-02-11,8.680000,8.820000,8.520000,8.630000,7.465458,6434500
2016-02-12,8.970000,9.210000,8.850000,9.200000,7.958541,4217200
2016-02-16,9.300000,9.350000,9.170000,9.270000,8.019096,5540800
2016-02-17,9.570000,9.660000,9.520000,9.540000,8.252662,10545700
2016-02-18,9.470000,9.470000,9.190000,9.200000,7.958541,11107800
2016-02-19,9.230000,9.250000,9.100000,9.220000,7.975844,5943200
2016-02-22,9.200000,9.330000,9.190000,9.310000,8.053700,3795700
2016-02-23,9.270000,9.280000,8.980000,9.000000,7.785530,4130000
2016-02-24,8.760000,8.960000,8.640000,8.930000,7.724976,3681200
2016-02-25,9.110000,9.260000,9.010000,9.240000,7.993144,2999800
2016-02-26,9.230000,9.410000,9.230000,9.310000,8.053700,3341200
2016-02-29,9.490000,9.630000,9.410000,9.440000,8.166155,4085700
2016-03-01,8.680000,8.920000,8.670000,8.890000,7.690374,11984600
2016-03-02,8.870000,9.230000,8.860000,9.220000,7.975844,6319700
2016-03-03,9.380000,9.520000,9.340000,9.520000,8.235361,5324200
2016-03-04,9.780000,9.920000,9.700000,9.810000,8.486228,6173700
2016-03-07,9.730000,9.920000,9.700000,9.880000,8.546782,3242200
2016-03-08,9.880000,9.880000,9.640000,9.640000,8.339168,5487900
2016-03-09,9.500000,9.520000,9.290000,9.350000,8.255290,3145200
2016-03-10,9.400000,9.490000,9.100000,9.250000,8.166998,4707100
2016-03-11,9.450000,9.670000,9.420000,9.660000,8.528996,4166300
2016-03-14,9.460000,9.490000,9.360000,9.420000,8.317095,4056500
2016-03-15,9.330000,9.380000,9.280000,9.310000,8.219975,2919900
2016-03-16,9.250000,9.400000,9.230000,9.370000,8.272948,3161100
2016-03-17,9.330000,9.370000,9.280000,9.340000,8.246462,3861900
2016-03-18,9.490000,9.530000,9.370000,9.460000,8.352411,4627100
2016-03-21,9.370000,9.440000,9.260000,9.330000,8.237631,3967200
2016-03-22,9.330000,9.330000,8.860000,8.970000,7.919780,4819900
2016-03-23,9.030000,9.030000,8.800000,8.840000,7.805001,5150200
2016-03-24,8.760000,8.770000,8.650000,8.750000,7.725541,9295800
2016-03-28,8.770000,8.860000,8.680000,8.800000,7.769686,2318400
2016-03-29,8.670000,8.820000,8.580000,8.800000,7.769686,3296300
2016-03-30,8.780000,8.840000,8.700000,8.710000,7.690223,3592600
2016-03-31,8.660000,8.720000,8.620000,8.620000,7.610759,3032500
2016-04-01,8.520000,8.650000,8.480000,8.630000,7.619589,3522900
2016-04-04,8.600000,8.690000,8.540000,8.560000,7.557785,3882000
2016-04-05,8.350000,8.380000,8.220000,8.260000,7.292909,6471300
2016-04-06,8.390000,8.520000,8.310000,8.500000,7.504810,4000100
2016-04-07,8.360000,8.410000,8.200000,8.240000,7.275251,3276500
2016-04-08,8.530000,8.560000,8.440000,8.470000,7.478323,5743800
2016-04-11,8.800000,8.860000,8.740000,8.750000,7.725541,4182400
2016-04-12,8.800000,8.970000,8.680000,8.950000,7.902123,3685700
2016-04-13,9.390000,9.500000,9.340000,9.490000,8.378899,4316500
2016-04-14,9.500000,9.580000,9.410000,9.510000,8.396558,3737800
2016-04-15,9.550000,9.560000,9.420000,9.460000,8.352411,2781400
2016-04-18,9.490000,9.600000,9.470000,9.560000,8.440704,3496200
2016-04-19,9.660000,9.740000,9.580000,9.680000,8.546653,3453600
2016-04-20,9.850000,9.900000,9.790000,9.880000,8.723236,2997800
2016-04-21,9.880000,9.890000,9.770000,9.810000,8.661432,3115300
2016-04-22,9.820000,9.950000,9.820000,9.910000,8.749724,2956800
2016-04-25,10.000000,10.010000,9.830000,9.910000,8.749724,3834200
2016-04-26,10.030000,10.170000,9.940000,10.140000,8.952796,3917900
2016-04-27,10.130000,10.280000,10.070000,10.200000,9.005772,3795000
2016-04-28,10.060000,10.220000,10.030000,10.090000,8.908651,3641600
2016-04-29,10.180000,10.200000,9.980000,10.050000,8.873334,4555400
2016-05-02,10.090000,10.120000,9.950000,10.080000,8.899820,2153600
2016-05-03,9.750000,9.760000,9.590000,9.650000,8.520164,4510200
2016-05-04,9.470000,9.560000,9.410000,9.450000,8.343581,4482200
2016-05-05,9.380000,9.500000,9.280000,9.320000,8.228802,3455700
2016-05-06,9.270000,9.470000,9.250000,9.410000,8.308266,2344100
2016-05-09,9.300000,9.340000,9.150000,9.190000,8.114022,3444600
2016-05-10,9.390000,9.520000,9.360000,9.470000,8.361241,2382400
2016-05-11,9.440000,9.540000,9.350000,9.400000,8.299438,2511200
2016-05-12,9.550000,9.600000,9.380000,9.450000,8.343581,4585700
2016-05-13,9.420000,9.540000,9.350000,9.390000,8.290607,4498800
2016-05-16,9.390000,9.480000,9.390000,9.440000,8.334753,2847000
2016-05-17,9.470000,9.550000,9.370000,9.440000,8.334753,3514500
2016-05-18,9.730000,10.010000,9.690000,9.960000,8.793871,5154900
2016-05-19,10.100000,10.170000,9.930000,10.030000,8.855676,4868000
2016-05-20,10.100000,10.230000,10.100000,10.160000,8.970455,3781200
2016-05-23,10.200000,10.270000,10.140000,10.170000,8.979282,3194800
2016-05-24,10.500000,10.660000,10.470000,10.660000,9.411914,5034700
2016-05-25,10.820000,11.010000,10.820000,10.920000,9.641474,4198000
2016-05-26,10.920000,10.940000,10.750000,10.830000,9.562010,2968200
2016-05-27,10.890000,10.980000,10.860000,10.910000,9.632644,1936200
2016-05-31,10.830000,10.900000,10.530000,10.580000,9.341281,5079200
2016-06-01,10.310000,10.500000,10.240000,10.480000,9.252989,3517200
2016-06-02,10.460000,10.580000,10.440000,10.550000,9.314794,3056100
2016-06-03,10.540000,10.570000,10.340000,10.510000,9.279476,3104800
2016-06-06,10.410000,10.490000,10.370000,10.450000,9.226501,5320600
2016-06-07,10.540000,10.660000,10.480000,10.480000,9.252989,2624500
2016-06-08,10.450000,10.480000,10.320000,10.370000,9.155868,4270100
2016-06-09,10.260000,10.260000,10.160000,10.200000,9.005772,3598800
2016-06-10,9.810000,9.840000,9.550000,9.560000,8.440704,6652900
2016-06-13,9.350000,9.500000,9.310000,9.330000,8.237631,5702900
2016-06-14,9.140000,9.240000,8.980000,9.050000,7.990415,7739900
2016-06-15,9.210000,9.290000,9.110000,9.110000,8.043390,5207400
2016-06-16,8.910000,9.140000,8.780000,9.120000,8.052219,5271700
2016-06-17,9.470000,9.640000,9.410000,9.620000,8.493677,8188800
2016-06-20,10.390000,10.430000,10.260000,10.270000,9.067575,8468400
2016-06-21,10.530000,10.710000,10.430000,10.620000,9.376595,7481500
2016-06-22,10.680000,10.890000,10.670000,10.710000,9.456059,7129500
2016-06-23,11.060000,11.190000,10.930000,11.180000,9.871033,7244900
2016-06-24,11.180000,11.180000,8.130000,8.890000,7.849148,74888100
2016-06-27,7.050000,7.190000,6.760000,7.030000,6.206919,149635800
2016-06-28,7.270000,7.390000,7.130000,7.300000,6.445307,63298400
2016-06-29,7.410000,7.670000,7.350000,7.600000,6.710182,32266100
2016-06-30,7.480000,7.670000,7.400000,7.600000,6.710182,22363300
2016-07-01,7.610000,7.640000,7.530000,7.590000,6.701353,12826700
2016-07-05,7.340000,7.370000,7.150000,7.210000,6.365844,16942200
2016-07-06,7.030000,7.080000,6.850000,7.080000,6.251065,24404400
2016-07-07,7.200000,7.260000,7.000000,7.060000,6.233406,12858900
2016-07-08,7.420000,7.420000,7.300000,7.320000,6.462965,11681800
2016-07-11,7.630000,7.700000,7.550000,7.670000,6.771986,13748600
2016-07-12,8.070000,8.090000,7.910000,7.950000,7.019204,30938500
2016-07-13,7.870000,7.920000,7.710000,7.780000,6.869109,18721300
2016-07-14,8.030000,8.080000,7.910000,8.020000,7.081009,20654400
2016-07-15,8.060000,8.060000,7.930000,8.000000,7.063350,6508000
2016-07-18,8.010000,8.150000,7.980000,8.100000,7.151643,7880300
2016-07-19,7.930000,8.010000,7.900000,7.930000,7.001545,8069600
2016-07-20,8.020000,8.060000,7.980000,8.040000,7.098667,5663000
2016-07-21,8.090000,8.190000,8.050000,8.060000,7.116326,6851700
2016-07-22,8.090000,8.090000,8.000000,8.020000,7.081009,4195800
2016-07-25,7.990000,8.030000,7.940000,7.980000,7.045691,4556800
2016-07-26,7.920000,7.970000,7.870000,7.920000,6.992717,8532800
2016-07-27,7.970000,8.040000,7.900000,7.960000,7.028033,8044100
2016-07-28,7.870000,7.890000,7.790000,7.840000,6.922083,6110700
2016-07-29,8.430000,8.450000,8.210000,8.240000,7.275251,15153900
2016-08-01,8.060000,8.160000,7.970000,7.990000,7.054521,8756200
2016-08-02,7.930000,7.960000,7.800000,7.840000,6.922083,8981400
2016-08-03,7.960000,8.060000,7.940000,8.050000,7.107496,6270500
2016-08-04,7.970000,8.040000,7.920000,7.960000,7.028033,5623300
2016-08-05,8.000000,8.100000,7.990000,8.090000,7.142813,4912600
2016-08-08,8.290000,8.380000,8.250000,8.350000,7.372372,8363700
2016-08-09,8.430000,8.570000,8.430000,8.480000,7.487151,5815000
2016-08-10,8.580000,8.590000,8.440000,8.470000,7.525356,5887200
2016-08-11,8.490000,8.540000,8.460000,8.510000,7.560895,3638700
2016-08-12,8.580000,8.580000,8.430000,8.470000,7.525356,4036300
2016-08-15,8.500000,8.540000,8.440000,8.480000,7.534240,4063400
2016-08-16,8.500000,8.530000,8.460000,8.480000,7.534240,3971900
2016-08-17,8.370000,8.470000,8.340000,8.440000,7.498701,4026100
