Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.620000,8.720000,8.570000,8.710000,7.284074,513800
2016-01-05,8.780000,8.800000,8.660000,8.730000,7.300800,552800
2016-01-06,8.570000,8.610000,8.510000,8.530000,7.133543,599700
2016-01-07,8.300000,8.400000,8.270000,8.300000,6.941197,775300
2016-01-08,8.400000,8.430000,8.160000,8.160000,6.824116,627100
2016-01-11,8.180000,8.220000,8.100000,8.190000,6.849204,658100
2016-01-12,8.250000,8.270000,8.100000,8.200000,6.857567,655000
2016-01-13,8.230000,8.250000,7.930000,7.940000,6.640132,853800
2016-01-14,7.970000,8.090000,7.890000,8.040000,6.723762,605800
2016-01-15,7.610000,7.670000,7.450000,7.530000,6.297255,720700
2016-01-19,7.560000,7.570000,7.420000,7.490000,6.263802,898600
2016-01-20,7.280000,7.330000,7.100000,7.280000,6.088182,1087800
2016-01-21,7.370000,7.530000,7.240000,7.460000,6.238714,1387500
2016-01-22,7.590000,7.640000,7.500000,7.550000,6.313980,1424300
2016-01-25,7.240000,7.340000,7.140000,7.240000,6.054730,2270000
2016-01-26,7.330000,7.570000,7.330000,7.560000,6.322342,1320700
2016-01-27,7.240000,7.380000,7.190000,7.200000,6.021279,1480600
2016-01-28,7.280000,7.290000,7.130000,7.230000,6.046367,823300
2016-01-29,7.200000,7.390000,7.130000,7.370000,6.163448,2793500
2016-02-01,7.080000,7.280000,7.040000,7.250000,6.063093,1066700
2016-02-02,6.880000,6.960000,6.830000,6.880000,5.753666,1692900
2016-02-03,6.950000,6.950000,6.700000,6.910000,5.778756,1129600
2016-02-04,6.890000,7.110000,6.890000,7.110000,5.946012,1337100
2016-02-05,7.080000,7.120000,6.990000,7.000000,5.854021,800900
2016-02-08,6.800000,6.800000,6.590000,6.660000,5.569683,1124800
2016-02-09,6.430000,6.590000,6.420000,6.550000,5.477691,1840100
2016-02-10,6.730000,6.880000,6.690000,6.690000,5.594771,1593900
2016-02-11,6.490000,6.590000,6.400000,6.470000,5.410788,1707200
2016-02-12,6.780000,6.960000,6.750000,6.960000,5.820570,1115200
2016-02-16,7.200000,7.220000,7.070000,7.140000,5.971102,1183600
2016-02-17,7.260000,7.370000,7.260000,7.330000,6.129996,968700
2016-02-18,7.370000,7.370000,7.160000,7.180000,6.004553,776200
2016-02-19,6.950000,7.040000,6.910000,7.040000,5.887473,803400
2016-02-22,6.890000,6.950000,6.880000,6.940000,5.803844,1693800
2016-02-23,6.800000,6.820000,6.630000,6.640000,5.552957,1514600
2016-02-24,6.490000,6.600000,6.410000,6.600000,5.519506,1632300
2016-02-25,6.830000,6.870000,6.760000,6.860000,5.736940,1687200
2016-02-26,6.310000,6.340000,6.240000,6.300000,5.268619,2222400
2016-02-29,6.300000,6.310000,6.190000,6.200000,5.184990,1367900
2016-03-01,6.150000,6.260000,6.140000,6.260000,5.235168,2300900
2016-03-02,6.260000,6.430000,6.250000,6.430000,5.377337,2072900
2016-03-03,6.520000,6.600000,6.460000,6.600000,5.519506,1304000
2016-03-04,6.560000,6.630000,6.540000,6.580000,5.502780,1353100
